202089	202081	202052	
202012	202037	202047	
202036	202087	202108	
202008	202013	202044	
202038	202057	202016	
202007	202048	202097	
202006	202013	202044	
202013	202067	202004	
202080	202081	202072	
202068	202104	202091	
202028	202021	202002	
202008	202033	202085	
202105	202049	202010	
202084	202100	202078	
202038	202005	202057	
202051	202014	202062	
202070	202089	202001	
202028	202053	202025	
202056	202065	202023	
202028	202012	202019	
202041	202047	202095	
202056	202020	202059	
202029	202075	202044	
202025	202040	202019	
202025	202040	202019	
202077	202076	202092	
202029	202024	202046	
202019	202021	202053	
202024	202027	202020	
202042	202036	202087	
202087	202066	202003	
202107	202050	202013	
202049	202066	202072	
202024	202075	202097	
202016	202003	202038	
202002	202047	202012	
202005	202057	202016	
202015	202096	202084	
202025	202025	202019	
202022	202109	202047	
202030	202105	202036	
202074	202064	202106	
202004	202008	202024	
202065	202094	202085	
202027	202020	202094	
202002	202037	202022	
202097	202006	202007	
202052	202034	202014	
202033	202107	202073	
202060	202063	202062	
202049	202014	202105	
202019	202028	202005	
202085	202013	202033	
202023	202020	202059	
202038	202005	202016	
202064	202074	202096	
202056	202065	202023	
202063	202051	202062	
202093	202092	202098	
202063	202060	202051	
202060	202062	202051	
202076	202074	202043	
202045	202020	202059	
202034	202072	202014	
202008	202107	202073	
202104	202091	202031	
202081	202080	202010	
202018	202001	202089	
202040	202025	202025	
202080	202010	202081	
202033	202107	202008	
202043	202076	202064	
202024	202044	202035	
202063	202064	202026	
202080	202026	202092	
202084	202100	202015	
202090	202018	202011	
202010	202072	202077	
202010	202080	202069	
202057	202038	202005	
202015	202078	202100	
202013	202054	202033	
202105	202014	202017	
202003	202031	202036	
202102	202056	202023	
202001	202081	202069	
202079	202096	202058	
202104	202068	202107	
202077	202026	202051	
202061	202092	202071	
202045	202065	202004	
202098	202022	202060	
202058	202039	202097	
202048	202006	202035	
202095	202026	202022	
202073	202067	202004	
202015	202078	202084	
202109	202012	202047	
202088	202056	202023	
202091	202068	202107	
202014	202086	202049	
202037	202002	202043	
202033	202050	202073	
202003	202050	202021	
202041	202101	202047	
